Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
646ce724070eec2bfbfe3f19,5e6b9027bc9dab1425346017,APPROVED,2023-05-23T16:17:44.222000Z,2023-05-23T16:32:41.093000Z,2023-05-30T16:06:36.764000,2023-05-23T16:32:42.232225Z,897,C8CDCVNZ,388,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
646ce742fbb659c26277bdf3,637b9edf2a2055bf16796ae6,APPROVED,2023-05-23T16:18:15.973000Z,2023-05-23T17:04:24.353000Z,2023-05-30T16:06:49.424000,2023-05-23T17:04:24.850729Z,2769,C8CDCVNZ,356,English,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
646ce771121d90fdd5ca1337,605b3a4c27b0609bce6229e8,APPROVED,2023-05-23T16:19:07.909000Z,2023-05-23T16:44:26.763000Z,2023-05-30T16:06:49.641000,2023-05-23T16:44:27.482439Z,1519,C8CDCVNZ,246,English,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
646ce771b006cff626c16ad2,54d2c4e2fdf99b2c319a8cf6,APPROVED,2023-05-23T16:19:02.856000Z,2023-05-23T17:14:30.970000Z,2023-05-30T16:06:49.842000,2023-05-23T17:14:33.703613Z,3329,C8CDCVNZ,2315,English,45,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
646ce7e2204bbc453837d79c,5efc558cf12a69012712b8d8,APPROVED,2023-05-23T16:20:55.863000Z,2023-05-23T16:38:48.261000Z,2023-05-30T16:06:50.057000,2023-05-23T16:38:48.697400Z,1073,C8CDCVNZ,460,English,39,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
646ce7ea3812e8f9c66e036d,5c82f2e2d6a4d0000164091e,APPROVED,2023-05-23T16:21:03.682000Z,2023-05-23T16:41:09.048000Z,2023-05-30T16:06:50.268000,2023-05-23T16:41:09.758343Z,1206,NOCODE,768,English,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
646ce83658a79717b46656bb,6175804ea3428148dea5659b,APPROVED,2023-05-23T16:22:16.903000Z,2023-05-23T16:43:57.714000Z,2023-05-30T16:06:50.493000,2023-05-23T16:43:58.234580Z,1301,C8CDCVNZ,258,"English, French, Swedish",28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
646ce8463ddc596990d147dc,6452679ed5f2334de1a3f167,APPROVED,2023-05-23T16:22:36.324000Z,2023-05-23T16:47:44.640000Z,2023-05-30T16:06:50.697000,2023-05-23T16:47:45.815555Z,1509,C8CDCVNZ,5,"Urdu, English",38,Male,Asian,Pakistan,United Kingdom,United Kingdom,Urdu,No,Full-Time
646ce86a6bb50aa8c8d89b71,628a7025fc7baa850e713e90,APPROVED,2023-05-23T16:23:11.312000Z,2023-05-23T16:53:31.218000Z,2023-05-30T16:06:50.925000,2023-05-23T16:53:31.745032Z,1820,C8CDCVNZ,113,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
646ce87d716d3b6b6c2579b6,62792a932283e688ab86e259,APPROVED,2023-05-23T16:28:18.059000Z,2023-05-23T17:05:46.957000Z,2023-05-30T16:06:36.927000,2023-05-23T17:05:47.393920Z,2249,C8CDCVNZ,207,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
646ce8aba1f6cc262f2f70da,60fd232b16f54fc7308136f2,APPROVED,2023-05-23T16:24:15.373000Z,2023-05-23T16:56:19.058000Z,2023-05-30T16:06:37.084000,2023-05-23T16:56:20.757173Z,1924,C8CDCVNZ,336,English,26,Female,White,Italy,United Kingdom,United Kingdom,English,No,Full-Time
646ce8b2a6c7600629b48b82,596275bf0b835400010a75e6,APPROVED,2023-05-23T16:24:22.009000Z,2023-05-23T16:51:01.575000Z,2023-05-30T16:06:37.538000,2023-05-23T16:51:02.240633Z,1600,C8CDCVNZ,565,"English, Bulgarian",36,Female,White,Bulgaria,United Kingdom,Bulgaria,Bulgarian,DATA_EXPIRED,DATA_EXPIRED
646ce8c0ba274cdadca22a06,63e67c784bb0bf23f1055d69,APPROVED,2023-05-23T16:24:41.422000Z,2023-05-23T17:00:22.017000Z,2023-05-30T16:06:51.144000,2023-05-23T17:00:22.454726Z,2141,C8CDCVNZ,2,English,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
646ce8cf073fca63e092ee62,61474f07f4cfbc50cb3b2f1e,APPROVED,2023-05-23T16:25:03.985000Z,2023-05-23T17:25:47.443000Z,2023-05-30T16:06:37.695000,2023-05-23T17:25:48.868961Z,3644,NOCODE,425,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
646ce8d089166ae63979c35b,5f67c39d8d62624067e07396,APPROVED,2023-05-23T16:24:52.153000Z,2023-05-23T16:48:30.739000Z,2023-05-30T16:06:37.854000,2023-05-23T16:48:37.782173Z,1419,C8CDCVNZ,210,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
646ce8d4d99e7929ca9cfaf8,61648be296a6aa6811817678,APPROVED,2023-05-23T16:25:08.535000Z,2023-05-23T16:41:55.846000Z,2023-05-30T16:06:38.012000,2023-05-23T16:41:56.344663Z,1008,C8CDCVNZ,368,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
646ce8ec8ca66641673e8372,637f86d14043aee189917962,APPROVED,2023-05-23T16:25:19.421000Z,2023-05-23T16:48:00.439000Z,2023-05-30T16:06:51.382000,2023-05-23T16:48:00.875439Z,1362,C8CDCVNZ,301,English,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
646ce90790f51d4d1736804d,63177ed2f150bc4d24e14f0d,APPROVED,2023-05-23T16:25:49.133000Z,2023-05-23T17:02:03.864000Z,2023-05-30T16:06:38.189000,2023-05-23T17:02:04.328434Z,2175,C8CDCVNZ,115,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
646ce9894da612ae9b390eb8,63d3f9e32cb099af870a4aa8,APPROVED,2023-05-23T16:28:38.268000Z,2023-05-23T16:59:25.385000Z,2023-05-30T16:06:38.364000,2023-05-23T16:59:28.197767Z,1848,C8CDCVNZ,174,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
646cea8e865fcf7f03368041,5b74ba4e45975900018d4451,APPROVED,2023-05-23T16:34:15.592000Z,2023-05-23T17:04:34.412000Z,2023-05-30T16:06:51.613000,2023-05-23T17:04:34.881685Z,1819,C8CDCVNZ,456,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
646cec571f57613d7636806b,6428066726cc9262cb146802,APPROVED,2023-05-23T16:39:55.303000Z,2023-05-23T17:14:29.181000Z,2023-05-30T16:06:38.525000,2023-05-23T17:14:29.731754Z,2074,C8CDCVNZ,77,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
646e31066b7038b5c89d49f8,60fdca9c4b75824bdfe2f80a,APPROVED,2023-05-24T15:45:14.681000Z,2023-05-24T16:11:32.413000Z,2023-05-30T16:06:38.688000,2023-05-24T16:11:32.813551Z,1578,C8CDCVNZ,713,English,35,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
646e316e51acc7293ea0fd96,5eadb1668c05c509d8989288,APPROVED,2023-05-24T15:46:58.051000Z,2023-05-24T16:21:24.625000Z,2023-05-30T16:06:51.832000,2023-05-24T16:21:25.285371Z,2067,C8CDCVNZ,315,"English, Hindi",29,Male,Asian,India,United States,India,English,No,Due to start a new job within the next month
646e320751fab3edccf4d36e,62cc834f992c68624c363ba2,APPROVED,2023-05-24T15:49:30.873000Z,2023-05-24T16:21:05.288000Z,2023-05-30T16:06:38.874000,2023-05-24T16:21:05.791915Z,1895,C8CDCVNZ,31,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
646e3236e2319d7071689a55,6139e17b320b943dc7ec57b4,APPROVED,2023-05-24T15:50:19.136000Z,2023-05-24T16:05:25.669000Z,2023-05-30T16:06:39.054000,2023-05-24T16:05:46.937817Z,907,C8CDCVNZ,606,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
646e3263411f32240c231d84,5aa8bd26f6dfdd0001eb1a9e,APPROVED,2023-05-24T15:51:04.374000Z,2023-05-24T16:42:46.495000Z,2023-05-30T16:06:52.042000,2023-05-24T16:42:47.042824Z,3103,C8CDCVNZ,944,"German, English, Thai",59,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
