Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6478c82eb31c358f74f3da90,5d192aef6be726001a39d2f3,APPROVED,2023-06-01T16:32:57.544000Z,2023-06-01T17:14:02.902000Z,2023-06-02T16:14:05.826000,2023-06-01T17:14:10.847605Z,2466,C8CDCVNZ,532,English,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6478c8317a713290d1e0b988,62ea4eda882ce012b70c4e25,APPROVED,2023-06-01T16:32:55.069000Z,2023-06-01T17:05:30.817000Z,2023-06-02T16:14:05.979000,2023-06-01T17:05:31.721622Z,1956,C8CDCVNZ,274,English,18,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
6478c838d4dd06fea7294833,5ecb7054245b4000091d740c,APPROVED,2023-06-01T16:33:03.962000Z,2023-06-01T17:01:42.114000Z,2023-06-02T16:14:01.491000,2023-06-01T17:01:42.573618Z,1719,C8CDCVNZ,497,English,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6478c83a0914aaef0e929247,5c89f82e26a0940016b28714,APPROVED,2023-06-01T16:33:03.616000Z,2023-06-01T16:55:56.449000Z,2023-06-02T16:14:01.724000,2023-06-01T16:55:56.961446Z,1373,C8CDCVNZ,109,English,24,Female,Asian,United States,United Kingdom,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6478c870984fb7772c0ed31b,644122a4ed832a948762febb,APPROVED,2023-06-01T16:33:57.441000Z,2023-06-01T17:11:57.523000Z,2023-06-02T16:14:01.971000,2023-06-01T17:11:57.918187Z,2281,C8CDCVNZ,9,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6478c8ad2c8b36a6e653a078,5c26ddc670d93a000120db8f,APPROVED,2023-06-01T16:34:57.417000Z,2023-06-01T17:06:49.504000Z,2023-06-02T16:14:06.133000,2023-06-01T17:06:51.748323Z,1913,C8CDCVNZ,348,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6478c8b53b6451ad5125e32e,5e1b307333e83535d72af1e5,APPROVED,2023-06-01T16:41:45.787000Z,2023-06-01T17:15:19.457000Z,2023-06-02T16:14:02.186000,2023-06-01T17:15:26.331793Z,2014,C8CDCVNZ,839,English,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6478c8d055ca15f9ba361442,63c581c316a864093767d62e,APPROVED,2023-06-01T16:35:45.614000Z,2023-06-01T17:33:05.671000Z,2023-06-02T16:14:02.370000,2023-06-01T17:33:08.973111Z,3441,C8CDCVNZ,166,English,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6478c8e0fad7eb195f6e97cb,63d13f343d0cb5503347e5ea,APPROVED,2023-06-01T16:35:48.344000Z,2023-06-01T17:06:35.886000Z,2023-06-02T16:14:06.285000,2023-06-01T17:06:36.491185Z,1848,C8CDCVNZ,241,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6478c8fbf209d6ba755f946a,56e5adeab2093a000d4f18d2,APPROVED,2023-06-01T16:36:17.486000Z,2023-06-01T17:08:27.340000Z,2023-06-02T16:14:06.440000,2023-06-01T17:08:27.943891Z,1930,C8CDCVNZ,546,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6478c903eb01a7dfd17160ac,5d776e218a8d1d00166d36a6,APPROVED,2023-06-01T16:36:19.261000Z,2023-06-01T17:09:47.318000Z,2023-06-02T16:14:06.583000,2023-06-01T17:09:47.893757Z,2009,C8CDCVNZ,2038,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6478c9214af787729e049681,5c4dae9a889752000156b1db,APPROVED,2023-06-01T16:36:52.669000Z,2023-06-01T17:17:32.725000Z,2023-06-02T16:14:02.545000,2023-06-01T17:17:33.164549Z,2441,C8CDCVNZ,1478,English,DATA_EXPIRED,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6478c92eb2d97069f43b1c10,62f673f097c8b4640a5333ed,APPROVED,2023-06-01T16:37:08.839000Z,2023-06-01T17:22:28.532000Z,2023-06-02T16:14:02.756000,2023-06-01T17:22:33.157322Z,2720,C8CDCVNZ,124,English,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6478c935d12de036875314c3,5e34d7b2cf93104ac7915090,APPROVED,2023-06-01T16:37:13.048000Z,2023-06-01T17:01:09.632000Z,2023-06-02T16:14:02.943000,2023-06-01T17:01:10.239743Z,1437,C8CDCVNZ,367,"Chinese, English",36,Female,Asian,Hong Kong,United Kingdom,Hong Kong,Chinese,No,Full-Time
6478c93e7d8535b32e25de44,57189f81dd9ef10011de0cb8,APPROVED,2023-06-01T16:37:25.581000Z,2023-06-01T17:07:22.121000Z,2023-06-02T16:14:03.134000,2023-06-01T17:07:22.798576Z,1797,C8CDCVNZ,426,English,51,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6478c95a139eef45d2bd45b8,60ca044c7b2e9a4654efeb77,APPROVED,2023-06-01T16:37:46.530000Z,2023-06-01T16:58:29.467000Z,2023-06-02T16:14:06.742000,2023-06-01T16:59:07.320082Z,1243,C8CDCVNZ,825,"English, Romanian",24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6478c95b55ca15f9ba36145d,5eba7de23468ad1cc5f33160,APPROVED,2023-06-01T16:37:47.989000Z,2023-06-01T17:29:11.964000Z,2023-06-02T16:14:06.887000,2023-06-01T17:29:12.449239Z,3084,C8CDCVNZ,1154,English,25,Male,Black,Zimbabwe,United Kingdom,Zimbabwe,Swahili,No,Full-Time
6478c97323b8194c4beafee6,64137f61588ac05138484e9f,APPROVED,2023-06-01T16:38:13.194000Z,2023-06-01T17:30:08.675000Z,2023-06-02T16:14:07.044000,2023-06-01T17:30:09.236456Z,3116,C8CDCVNZ,104,"English, Polish",19,Male,White,Poland,United Kingdom,Poland,Polish,No,Full-Time
6478c980984fb7772c0ed353,63d80ba802c464f147a26978,APPROVED,2023-06-01T16:38:28.006000Z,2023-06-01T17:19:00.413000Z,2023-06-02T16:14:07.212000,2023-06-01T17:19:00.841292Z,2433,C8CDCVNZ,186,English,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6478c983e12a403432abe2bc,5c407004a3cb070001d85339,APPROVED,2023-06-01T16:45:41.309000Z,2023-06-01T17:25:20.978000Z,2023-06-02T16:14:07.363000,2023-06-01T17:25:22.127125Z,2380,C8CDCVNZ,767,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
