Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
632b2bca1f259dc7e9ec5e16,5f5bb19873fa1f341a4eaa3b,APPROVED,2022-09-21T15:20:42.927000Z,2022-09-21T16:13:25.431000Z,2022-10-06T09:02:46.747000,2022-09-21T16:13:25.801194Z,3163,C8CDCVNZ,110,1,100,English,37,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
632b2c14e1716c9bb4b50514,60fff225fb2da6129caf029a,APPROVED,2022-09-21T15:22:01.811000Z,2022-09-21T16:31:27.353000Z,2022-10-06T09:02:46.855000,2022-09-21T16:31:27.890345Z,4166,C8CDCVNZ,467,4,99,"English, Lithuanian, Polish, Russian",68,Female,White,Lithuania,United Kingdom,Lithuania,Lithuanian,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
632b2cb17b77c74fa268b467,5e482352020bde2be9b4ded1,APPROVED,2022-09-21T15:24:55.466000Z,2022-09-21T16:22:22.685000Z,2022-10-06T09:02:51.397000,2022-09-21T16:22:23.177863Z,3448,C8CDCVNZ,392,8,96,English,33,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
632b2cb49bb9d9e5d7011a0b,60c9395dd973ea5ebe0ea6ad,APPROVED,2022-09-21T15:24:41.436000Z,2022-09-21T16:26:29.685000Z,2022-10-06T09:02:51.514000,2022-09-21T16:26:31.004019Z,3709,C8CDCVNZ,263,7,95,English,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
632b2cd89b11c658cf06c80a,6131f6711c0d96f6f1fb04af,APPROVED,2022-09-21T15:25:12.098000Z,2022-09-21T15:55:27.606000Z,2022-10-06T09:02:51.631000,2022-09-21T15:55:27.971895Z,1816,C8CDCVNZ,272,1,100,"Danish, English, Italian, Spanish, French",33,Male,White,Romania,United Kingdom,DATA_EXPIRED,Romanian,DATA_EXPIRED,DATA_EXPIRED
632b2cfd5439bf6afb94896a,626d611a6d646b36a7721304,APPROVED,2022-09-21T15:25:53.093000Z,2022-09-21T16:30:03.442000Z,2022-10-06T09:02:51.746000,2022-09-21T16:30:03.852405Z,3851,C8CDCVNZ,90,2,98,"English, French",23,Male,Black,Congo the Democratic Republic of the,United Kingdom,United Kingdom,French,Yes,DATA_EXPIRED
632b2d0032210c244c0063f2,5d2e06eb64970300169c8fdf,APPROVED,2022-09-21T15:26:01.668000Z,2022-09-21T15:53:49.542000Z,2022-10-06T09:02:51.859000,2022-09-21T15:53:49.982429Z,1668,C8CDCVNZ,358,3,99,English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
632b2d4e8361d67900661d16,60e962df6e5dab0795cae4c6,APPROVED,2022-09-21T15:27:14.139000Z,2022-09-21T16:33:00.904000Z,2022-10-06T09:02:51.974000,2022-09-21T16:33:05.700595Z,3947,C8CDCVNZ,14,0,100,English,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
632b2d5fec9ea3cbcf1c562b,5f047ad3b4eb766c94bb20a7,APPROVED,2022-09-21T15:27:32.086000Z,2022-09-21T16:30:33.528000Z,2022-10-06T09:02:52.091000,2022-09-21T16:30:35.282476Z,3782,C8CDCVNZ,66,0,100,"English, Hebrew",29,Male,Black,Israel,United Kingdom,United States,English,No,Unemployed (and job seeking)
632b2d85af3f642b75b4319b,5f7e292bc98b530dc2c16c4d,APPROVED,2022-09-21T15:28:09.639000Z,2022-09-21T16:01:02.275000Z,2022-10-06T09:02:52.202000,2022-09-21T16:01:02.720553Z,1973,C8CDCVNZ,684,12,97,English,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
632b2fd03d9ce18510275342,576745749dcd970001dbdd0b,APPROVED,2022-09-21T15:37:55.767000Z,2022-09-21T16:23:40.129000Z,2022-10-06T09:02:46.963000,2022-09-21T16:23:40.822916Z,2745,C8CDCVNZ,547,0,100,English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
632b47669b2fddec347b5e34,62ee4337445b044245a71185,APPROVED,2022-09-21T17:18:57.432000Z,2022-09-21T17:48:28.227000Z,2022-10-06T09:02:52.317000,2022-09-21T17:48:28.604067Z,1771,C8CDCVNZ,76,1,100,English,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
632b4780252189afbd192958,5ea07fc202b8bd05bb59bc38,APPROVED,2022-09-21T17:20:22.902000Z,2022-09-21T18:30:10.776000Z,2022-10-06T09:02:47.068000,2022-09-21T18:30:11.406613Z,4188,C8CDCVNZ,1033,1,100,English,74,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
